feature	fraction NANs for all	fraction NANs for POI	fraction NANs for non-POI
salary	0.3493150684931507	0.05555555555555555	0.390625
to_messages	0.410958904109589	0.2222222222222222	0.4375
deferral_payments	0.7328767123287672	0.7222222222222222	0.734375
total_payments	0.14383561643835616	0.0	0.1640625
exercised_stock_options	0.3013698630136986	0.3333333333333333	0.296875
bonus	0.4383561643835616	0.1111111111111111	0.484375
restricted_stock	0.2465753424657534	0.05555555555555555	0.2734375
shared_receipt_with_poi	0.410958904109589	0.2222222222222222	0.4375
restricted_stock_deferred	0.8767123287671232	1.0	0.859375
total_stock_value	0.136986301369863	0.0	0.15625
expenses	0.3493150684931507	0.0	0.3984375
loan_advances	0.9726027397260274	0.9444444444444444	0.9765625
from_messages	0.410958904109589	0.2222222222222222	0.4375
other	0.363013698630137	0.0	0.4140625
from_this_person_to_poi	0.410958904109589	0.2222222222222222	0.4375
poi	0.0	0.0	0.0
director_fees	0.8835616438356164	1.0	0.8671875
deferred_income	0.6643835616438356	0.3888888888888889	0.703125
long_term_incentive	0.547945205479452	0.3333333333333333	0.578125
email_address	0.23972602739726026	0.0	0.2734375
from_poi_to_this_person	0.410958904109589	0.2222222222222222	0.4375
